Unique ID,Date,Kissflow ID,Store Code,Store Name,Material,Requested Qty,Store Address,Pincode,Store Phone
PM926-4008,21 Sep 2026,12105-VMPRMR009281,CLMUMADH,CL-ST-MUM-Andheri West,Ring Sizer,1,"Showroom no 003-A, Fortune Terraces, opp Citi Mall, New link road, Andheri west, Mumbai 400053",400053,7339330666
PM926-4285,23 Sep 2026,12116-VMPRMR009292,CL-ST-TEMP-L3-Bikaner-Brahma Kumari Circle,Brahma Kumari Circle - Bikaner,Ring Sizer,1,"NOT IN CATALOG - new/temp store, needs manual address",,
PM926-4286,23 Sep 2026,12116-VMPRMR009292,CL-ST-TEMP-L3-Bikaner-Brahma Kumari Circle,Brahma Kumari Circle - Bikaner,Bangle Sizer,1,"NOT IN CATALOG - new/temp store, needs manual address",,
PM926-4307,23 Sep 2026,12121-VMPRMR009297,CRJPRMLN,CL-ST-L3-JAIPUR-MALVIYANAGAR,Chocolate Bowl,1,"Showroom – 2A, Ground Floor, GT Landmark, Near Gaurav Tower, Malviya Nagar, Jaipur. 302017",302017,9500101242
PM926-4310,23 Sep 2026,12121-VMPRMR009297,CRJPRMLN,CL-ST-L3-JAIPUR-MALVIYANAGAR,Ring Rod,1,"Showroom – 2A, Ground Floor, GT Landmark, Near Gaurav Tower, Malviya Nagar, Jaipur. 302017",302017,9500101242
PM926-4313,23 Sep 2026,12121-VMPRMR009297,CRJPRMLN,CL-ST-L3-JAIPUR-MALVIYANAGAR,Ring Sizer,1,"Showroom – 2A, Ground Floor, GT Landmark, Near Gaurav Tower, Malviya Nagar, Jaipur. 302017",302017,9500101242
PM926-4314,23 Sep 2026,12121-VMPRMR009297,CRJPRMLN,CL-ST-L3-JAIPUR-MALVIYANAGAR,Bangle Sizer,1,"Showroom – 2A, Ground Floor, GT Landmark, Near Gaurav Tower, Malviya Nagar, Jaipur. 302017",302017,9500101242
